FID,NO,ID_1,ID_2,ID3,DATE_BEGIN,DATA_EXPIR,NAME,ADDRESS,STATE,ZIP,LAT,LONG,CAFO_TYPE,CAFO_SUBTY,SIS_CODE,ANIMAL_CNT,E_ANIMAL_C,AU,E_AU,MANURE_AMT,E_MANURE_A,T_MANURE_A,NOTE,x,y
10,50,TXG920176,CN603062274,RN103015004,9/29/2004, ,LA MEJOR LIVESTOCK CO INC,1898 STATE HIGHWAY 114 SEYMOUR,TX,76380,33.576111,-99.225277,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,9199, ,9199, ,-11045708,3972026
11,52,TXG920191,CN600792584,RN102010816,9/26/2004, ,TEXAS BEEF LTD,12650 STATE HIGHWAY 136 GRUVER,TX,79040,36.127777,-101.43611,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,59962, ,59962, ,-11291817,4318218
12,55,TXG920209,CN600792634,RN102900826,10/6/2004, ,"GIBSON, LARRY DEE",1382 COUNTY ROAD 521 DUBLIN,TX,76446,32.084833,-98.2705,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,1574, ,1574, ,-10939423,3774452
13,57,TXG920214,CN600717292,RN102186707,9/5/2004, ,CAL-TEX FEED YARD INC,381 COUNTY ROAD 373 TRENT,TX,79561,32.5165,-100.09083,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,65408, ,65408, ,-11142061,3831303
14,59,TXG920222,CN600789341,RN101512713,10/6/2004, ,EC FARMS LP,3180 COUNTY ROAD 4 HEREFORD,TX,79045,34.766666,-102.5,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,162060, ,162060, ,-11410249,4132218
15,62,TXG920229,CN600790182,RN101513612,10/1/2004, ,HOWELL INDUSTRIES INC,"3160 Co Rd 420, Premont, TX 78375, USA",TX,78375,27.353333,-98.221388,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,24820, ,24820, ,-10933956,3167686
16,63,TXG920235,CN600797492,RN101523223,10/6/2004, ,CHAMPION FEEDERS LLC,3750 FM 2943 HEREFORD,TX,79045,34.813888,-102.34583,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,48380, ,48380, ,-11393087,4138619
17,65,TXG920243,CN600802490,RN104654041,10/10/2004, ,"HEFLEY, DENNIS JOE","Neece, Canadian, TX 79014, USA",TX,79011,35.663888,-100.45072,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,26371, ,26371, ,-11182124,4254472
18,67,TXG920259,CN601474125,RN102905916,10/10/2004, ,SANTA FE FEEDERS LTD,"US-281, Encino, TX 78353, USA",TX,78353,26.8125,-98.111111,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,14892, ,14892, ,-10921680,3100066
19,68,TXG920262,CN601130289,RN102096591,10/14/2004, ,AGRI-RESEARCH CENTER INC,16851 HOPE RD CANYON,TX,79015,35.033611,-101.97055,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,4254, ,4254, ,-11351311,4168450
20,76,TXG920279,CN601720386,RN101516367,10/17/2004, ,CARRIZO FEEDERS LTD,6705 TEXAS STATE HIGHWAY 85 EAST CARRIZO SPRINGS,TX,78834,28.569166,-99.746111,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,26671, ,26671, ,-11103687,3320925
21,77,TXG920281,CN600789846,RN101513265,10/17/2004, ,CHAPARRAL FEEDERS INC,9129 FARM TO MARKET 140 UVALDE,TX,78801,29.1275,-99.669166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,16243, ,16243, ,-11095122,3391885
22,78,TXG920283,CN600801237,RN101527745,10/17/2004, ,DAWN CUSTOM CATTLE FEEDERS INC,4653 FARM TO MARKET 1062 WILDORADO,TX,79098,34.989166,-102.23361,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,26280, ,26280, ,-11380594,4162410
23,79,TXG920284,CN602599029,RN101511418,10/17/2004, ,DIAMOND CATTLE FEEDERS INC,3794 COUNTY ROAD 1 HEREFORD,TX,79045,34.746111,-102.40166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,26371, ,26371, ,-11399302,4129433
24,80,TXG920287,CN602482184,RN102314523,10/17/2004, ,LIPAN CATTLE FEEDERS LLC,9502 HIGHWAY 380 SAN ANGELO,TX,76905,31.491666,-100.28166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,42515, ,42515, ,-11163304,3696768
25,81,TXG920289,CN600802755,RN101529485,10/17/2004, ,MCLEOD FARMS INC,11700 COUNTY ROAD 7 MORSE,TX,79062,32.999722,-101.53333,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,18688, ,18688, ,-11302640,3895268
26,82,TXG920291,CN601058936,RN102335122,10/17/2004, ,NEWTEX FEEDYARD INC,1949 HIGHWAY 86 FRIONA,TX,79035,34.533611,-102.76833,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,48618, ,48618, ,-11440119,4100681
27,83,TXG920292,CN602477960,RN101527802,10/17/2004, ,PERRY FEEDERS INC,110847 IH 37 PLEASANTON,TX,78064,29.008888,-98.434166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,10939, ,10939, ,-10957642,3376778
28,84,TXG920294,CN601109705,RN102043791,10/17/2004, ,SHEARRER FEED LOT INC,4250 STRAWBERRY CITY RD POTEET,TX,78065,29.040277,-98.503611,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,4060, ,4060, ,-10965373,3380774
29,89,TXG920307,CN601473911,RN102905684,10/17/2004, ,"POTTER, BRIAN JAMES","13032 US-87, Dalhart, TX 79022, USA",TX,79022,36.191111,-102.71944,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,9308, ,9308, ,-11434677,4326951
30,90,TXG920308,CN600792584,RN101512861,10/17/2004, ,TEXAS BEEF LTD,11400 TEXAS BEEF ROAD SUNRAY,TX,79086,35.935833,-101.803055,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,133700, ,133700, ,-11332665,4291797
31,94,TXG920316,CN600802052,RN101528628,10/17/2004, ,"OLDHAM, CLIFFORD GLEN",16590 INTERSTATE HIGHWAY 40 SHAMROCK,TX,79079,35.224722,-100.13055,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,8103, ,8103, ,-11146483,4194463
32,95,TXG920317,CN600919468,RN101702967,10/16/2004, ,PACO FEEDYARD LTD,1741 COUNTY RD S FRIONA,TX,79035,34.483055,-102.73722,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,60097, ,60097, ,-11436656,4093851
33,96,TXG920319,CN602740698,RN101522498,10/24/2004, ,"CATES, MARK SHANNON",15927 COUNTY RD E FOLLETT,TX,79034,36.4525,-100.22166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,17048, ,17048, ,-11156625,4363066
34,97,TXG920330,CN601018690,RN102287414,10/23/2004, ,LIVESTOCK INVESTORS LTD,275 FM 1057 SUMMERFIELD,TX,79085,34.721111,-102.51194,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,162060, ,162060, ,-11411578,4126046
35,98,TXG920331,CN601018690,RN101869477,10/23/2004, ,LIVESTOCK INVESTORS LTD,415 COUNTY ROAD 503B HEREFORD,TX,79045,34.707777,-102.49333,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,87600, ,87600, ,-11409506,4124241
36,99,TXG920333,CN600799928,RN101526267,10/23/2004, ,BEZNER CATTLE AND GRAIN CO,12846 FM 3110 TEXLINE,TX,79087,36.162269,-102.872025,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,67791, ,67791, ,-11451662,4322973
37,100,TXG920334,CN602613176,RN101700870,10/24/2004, ,"BRADLEY, GENE",2019 FM 1055 DIMMITT,TX,79027,34.462777,-102.40777,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,14892, ,14892, ,-11399982,4091113
38,101,TXG920337,CN601084593,RN102286705,10/23/2004, ,CIRCLE THREE FEED YARDS LTD,201 COUNTY ROAD 505 HEREFORD,TX,79045,34.741944,-102.46055,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,27912, ,27912, ,-11405857,4128868
39,102,TXG920338,CN602412843,RN102097227,10/24/2004, ,ROGERS & SONS LTD,2055 FM 1055 DIMMITT,TX,79027,34.461944,-102.407777,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,36382, ,36382, ,-11399983,4091001
40,103,TXG920341,CN601129141,RN102094042,10/23/2004, ,DETTLE FEEDYARDS LP,5645 COUNTY ROAD N STRATFORD,TX,79084,36.317777,-102.12666,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,24820, ,24820, ,-11368689,4344436
