,ckn-broilers,ckn-layers,ckn-pullets,ducks,turkeys,waterfowl
ckn-broilers,0.3484848484848485,0.06060606060606061,0.0,0.13636363636363635,0.15151515151515152,0.0
ckn-layers,0.17582417582417584,0.4175824175824176,0.0,0.16483516483516483,0.0989010989010989,0.0
ckn-pullets,0.25,0.5,0.0,0.5,0.0,0.0
ducks,0.25,0.375,0.0,0.40625,0.125,0.0
turkeys,0.04314720812182741,0.04568527918781726,0.0,0.030456852791878174,0.467005076142132,0.0
waterfowl,0.0,0.0,0.0,0.0,0.0,0.0
