,ckn-broilers,ckn-layers,ckn-pullets,ducks,turkeys,waterfowl
ckn-broilers,0.36363636363636365,0.06060606060606061,0.015151515151515152,0.15151515151515152,0.13636363636363635,0.0
ckn-layers,0.17582417582417584,0.4065934065934066,0.04395604395604396,0.15384615384615385,0.08791208791208792,0.0
ckn-pullets,0.0,0.25,0.0,0.25,0.0,0.0
ducks,0.21875,0.34375,0.0,0.375,0.09375,0.0
turkeys,0.04314720812182741,0.04314720812182741,0.0,0.027918781725888325,0.48223350253807107,0.0
waterfowl,0.0,0.0,0.0,0.0,0.0,0.0
