time,county_code,present,event,delta
2024-07-23 04:00:00+00:00,46135,1,7,30
2024-07-24 04:00:00+00:00,8035,1,8,30
2024-07-29 04:00:00+00:00,8035,1,8,30
2024-07-30 04:00:00+00:00,8035,1,8,30
2024-07-31 04:00:00+00:00,8035,1,8,30
2024-08-05 04:00:00+00:00,8035,1,8,30
2024-08-06 04:00:00+00:00,8035,1,8,30
2024-08-07 04:00:00+00:00,8035,1,8,30
2024-08-14 04:00:00+00:00,8035,1,8,30
2024-09-09 04:00:00+00:00,6099,1,9,30
2024-09-25 04:00:00+00:00,6099,1,9,30
2024-09-27 04:00:00+00:00,6099,1,9,30
2024-09-30 04:00:00+00:00,6099,1,9,30
2024-10-02 04:00:00+00:00,6075,1,10,30
2024-10-02 04:00:00+00:00,6085,1,11,30
2024-10-02 04:00:00+00:00,6081,1,12,30
2024-10-02 04:00:00+00:00,6099,1,9,30
2024-10-03 04:00:00+00:00,6081,1,12,30
2024-10-03 04:00:00+00:00,6085,1,11,30
2024-10-03 04:00:00+00:00,6075,1,10,30
2024-10-04 04:00:00+00:00,6099,1,9,30
2024-10-07 04:00:00+00:00,6099,1,9,30
2024-10-09 04:00:00+00:00,6099,1,9,30
2024-10-11 04:00:00+00:00,6099,1,9,30
2024-10-14 04:00:00+00:00,6099,1,9,30
2024-10-16 04:00:00+00:00,6099,1,9,30
2024-10-18 04:00:00+00:00,6099,1,9,30
2024-10-21 04:00:00+00:00,6099,1,9,30
2024-10-23 04:00:00+00:00,6099,1,9,30
2024-10-25 04:00:00+00:00,6099,1,9,30
2024-10-26 04:00:00+00:00,6067,1,13,30
2024-10-27 04:00:00+00:00,6037,1,14,30
2024-10-27 04:00:00+00:00,6067,1,13,30
2024-10-27 04:00:00+00:00,6085,1,11,30
2024-10-28 04:00:00+00:00,6067,1,13,30
2024-10-28 04:00:00+00:00,6085,1,11,30
2024-10-28 04:00:00+00:00,6037,1,14,30
2024-10-28 04:00:00+00:00,6099,1,9,30
2024-10-29 04:00:00+00:00,6067,1,13,30
2024-10-29 04:00:00+00:00,6085,1,11,30
2024-10-30 04:00:00+00:00,6085,1,11,30
2024-10-30 04:00:00+00:00,6099,1,9,30
2024-10-30 04:00:00+00:00,6067,1,13,30
