subtype,birds_W_lb,birds_W_ub,fun_lb,fun_ub
milk,1.0151671962470503e-06,5.100448282259068e-06,0.0063408179958490685,4.5580889345586684e-05
turkeys,0.00010305999250754803,0.00011378169794479549,0.06022953343799031,0.07194955580128237
ckn-layers,3.291246417565601e-05,3.622911970441297e-05,0.01901530996867251,0.008802626573540806
ckn-broilers,4.098170297787246e-06,4.519574752144592e-06,0.004183118585473267,0.039111807738953175
ducks,4.42135069871648e-05,4.880517012407041e-05,0.002890979679989414,0.011823911924288666
ckn-pullets,1e-06,1e-06,0.4110156184238605,0.3110156184238604
