month	state	Avian-Wild	Cattle	Chicken	Environment	Human	Nonhuman-mammal	Turkey
2023-11	?	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-01	CA	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-01	WY	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-02	CA	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-02	NM	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2024-02	TX	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-03	?	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2024-03	ID	0.0	11.0	0.0	0.0	0.0	0.0	0.0
2024-03	KS	0.0	13.0	0.0	0.0	0.0	0.0	0.0
2024-03	MI	0.0	10.0	0.0	0.0	0.0	0.0	0.0
2024-03	NM	0.0	12.0	0.0	0.0	4.0	2.0	0.0
2024-03	OH	0.0	26.0	0.0	0.0	0.0	0.0	0.0
2024-03	OK	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2024-03	TX	6.0	124.0	9.0	0.0	9.0	3.0	0.0
2024-04	?	0.0	1.0	0.0	0.0	0.0	0.0	0.0
2024-04	CO	0.0	12.0	0.0	1.0	0.0	0.0	0.0
2024-04	ID	0.0	54.0	2.0	0.0	0.0	0.0	0.0
2024-04	KS	0.0	4.0	1.0	0.0	0.0	0.0	0.0
2024-04	MI	0.0	66.0	14.0	0.0	15.0	0.0	5.0
2024-04	MN	0.0	0.0	0.0	0.0	0.0	0.0	7.0
2024-04	NC	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-04	NM	2.0	42.0	9.0	0.0	5.0	0.0	0.0
2024-04	OH	0.0	27.0	0.0	0.0	1.0	0.0	0.0
2024-04	OK	0.0	2.0	0.0	0.0	0.0	0.0	0.0
2024-04	SD	0.0	31.0	0.0	0.0	2.0	0.0	0.0
2024-04	TX	1.0	18.0	2.0	0.0	0.0	0.0	0.0
2024-04	WY	0.0	45.0	0.0	0.0	0.0	0.0	0.0
2024-05	CO	0.0	9.0	0.0	0.0	2.0	0.0	0.0
2024-05	GA	0.0	0.0	0.0	0.0	0.0	48.0	0.0
2024-05	IA	0.0	0.0	2.0	0.0	0.0	0.0	0.0
2024-05	ID	1.0	105.0	5.0	0.0	5.0	0.0	0.0
