livestock,subtype,unit,value_type,value
ckn-pullets,all,heads,county,82679119
ckn-pullets,all,operations,county,34874
ckn-pullets,dummy,heads,county,82679119
ckn-pullets,dummy,operations,county,34874
ckn-roosters,all,heads,county,6858978
ckn-roosters,all,operations,county,42110
ckn-roosters,dummy,heads,county,6858978
ckn-roosters,dummy,operations,county,42110
ducks,all,heads,county,3422959
ducks,all,operations,county,34781
ducks,dummy,heads,county,3422959
ducks,dummy,operations,county,34781
emus,all,heads,county,9818
emus,all,operations,county,1566
emus,dummy,heads,county,9818
emus,dummy,operations,county,1566
geese,all,heads,county,83858
geese,all,operations,county,11940
geese,dummy,heads,county,83858
geese,dummy,operations,county,11940
guineas,all,heads,county,341095
guineas,all,operations,county,18853
guineas,dummy,heads,county,341095
guineas,dummy,operations,county,18853
hogs,all,heads,county,65517107
hogs,all,operations,county,60809
hogs,dummy,heads,county,65517107
hogs,dummy,operations,county,60809
ostriches,all,heads,county,1601
ostriches,all,operations,county,232
ostriches,dummy,heads,county,1601
ostriches,dummy,operations,county,232
partridges,all,heads,county,9500
partridges,all,operations,county,68
partridges,dummy,heads,county,9500
partridges,dummy,operations,county,68
peafowl,all,heads,county,43564
peafowl,all,operations,county,6930
peafowl,dummy,heads,county,43564
peafowl,dummy,operations,county,6930
pheasants,all,heads,county,1244299
pheasants,all,operations,county,2257
pheasants,dummy,heads,county,1244299
pheasants,dummy,operations,county,2257
pigeons,all,heads,county,160782
pigeons,all,operations,county,2196
pigeons,dummy,heads,county,160782
pigeons,dummy,operations,county,2196
poultry-other,all,heads,county,38126
poultry-other,all,operations,county,789
poultry-other,dummy,heads,county,38126
poultry-other,dummy,operations,county,789
quail,all,heads,county,6245885
quail,all,operations,county,4738
quail,dummy,heads,county,6245885
quail,dummy,operations,county,4738
rheas,all,heads,county,439
rheas,all,operations,county,152
rheas,dummy,heads,county,439
rheas,dummy,operations,county,152
sheep,all,heads,county,4803604
sheep,all,operations,county,88853
sheep,dummy,heads,county,4803604
sheep,dummy,operations,county,88853
turkeys,all,heads,county,84529778
turkeys,all,operations,county,23431
turkeys,dummy,heads,county,84529778
turkeys,dummy,operations,county,23431
cattle,all,heads,county-farmsize,85976172
cattle,all,operations,county-farmsize,732123
cattle,beef,heads,county-farmsize,27794182
cattle,beef,operations,county-farmsize,622162
cattle,milk,heads,county-farmsize,7530354
cattle,milk,operations,county-farmsize,36024
cattle,other,heads,county-farmsize,46258784
cattle,other,operations,county-farmsize,594222
chukars,all,heads,county-farmsize,0
chukars,all,operations,county-farmsize,0
chukars,dummy,heads,county-farmsize,0
chukars,dummy,operations,county-farmsize,0
ckn-broilers,all,heads,county-farmsize,0
ckn-broilers,all,operations,county-farmsize,0
ckn-broilers,dummy,heads,county-farmsize,0
ckn-broilers,dummy,operations,county-farmsize,0
ckn-layers,all,heads,county-farmsize,0
ckn-layers,all,operations,county-farmsize,240530
ckn-layers,dummy,heads,county-farmsize,0
ckn-layers,dummy,operations,county-farmsize,240530
ckn-pullets,all,heads,county-farmsize,0
ckn-pullets,all,operations,county-farmsize,0
ckn-pullets,dummy,heads,county-farmsize,0
ckn-pullets,dummy,operations,county-farmsize,0
ckn-roosters,all,heads,county-farmsize,0
ckn-roosters,all,operations,county-farmsize,0
ckn-roosters,dummy,heads,county-farmsize,0
ckn-roosters,dummy,operations,county-farmsize,0
ducks,all,heads,county-farmsize,0
ducks,all,operations,county-farmsize,0
ducks,dummy,heads,county-farmsize,0
ducks,dummy,operations,county-farmsize,0
emus,all,heads,county-farmsize,0
emus,all,operations,county-farmsize,0
emus,dummy,heads,county-farmsize,0
emus,dummy,operations,county-farmsize,0
geese,all,heads,county-farmsize,0
geese,all,operations,county-farmsize,0
geese,dummy,heads,county-farmsize,0
geese,dummy,operations,county-farmsize,0
guineas,all,heads,county-farmsize,0
guineas,all,operations,county-farmsize,0
guineas,dummy,heads,county-farmsize,0
guineas,dummy,operations,county-farmsize,0
hogs,all,heads,county-farmsize,62544685
hogs,all,operations,county-farmsize,60809
hogs,dummy,heads,county-farmsize,62544685
hogs,dummy,operations,county-farmsize,60809
ostriches,all,heads,county-farmsize,0
ostriches,all,operations,county-farmsize,0
ostriches,dummy,heads,county-farmsize,0
ostriches,dummy,operations,county-farmsize,0
partridges,all,heads,county-farmsize,0
partridges,all,operations,county-farmsize,0
partridges,dummy,heads,county-farmsize,0
partridges,dummy,operations,county-farmsize,0
peafowl,all,heads,county-farmsize,0
peafowl,all,operations,county-farmsize,0
peafowl,dummy,heads,county-farmsize,0
peafowl,dummy,operations,county-farmsize,0
pheasants,all,heads,county-farmsize,0
pheasants,all,operations,county-farmsize,0
pheasants,dummy,heads,county-farmsize,0
pheasants,dummy,operations,county-farmsize,0
pigeons,all,heads,county-farmsize,0
pigeons,all,operations,county-farmsize,0
pigeons,dummy,heads,county-farmsize,0
pigeons,dummy,operations,county-farmsize,0
poultry-other,all,heads,county-farmsize,0
poultry-other,all,operations,county-farmsize,0
poultry-other,dummy,heads,county-farmsize,0
poultry-other,dummy,operations,county-farmsize,0
quail,all,heads,county-farmsize,0
quail,all,operations,county-farmsize,0
quail,dummy,heads,county-farmsize,0
quail,dummy,operations,county-farmsize,0
rheas,all,heads,county-farmsize,0
rheas,all,operations,county-farmsize,0
rheas,dummy,heads,county-farmsize,0
rheas,dummy,operations,county-farmsize,0
sheep,all,heads,county-farmsize,3667590
sheep,all,operations,county-farmsize,88853
sheep,dummy,heads,county-farmsize,3667590
sheep,dummy,operations,county-farmsize,88853
turkeys,all,heads,county-farmsize,0
turkeys,all,operations,county-farmsize,0
turkeys,dummy,heads,county-farmsize,0
turkeys,dummy,operations,county-farmsize,0
