id,name,country,lt,ln,pop
478,Caboolture,AUS,-27.08296059,152.9499816,26495.5
479,Warwick,AUS,-28.22924721,152.0203226,10024
480,Kingaroy,AUS,-26.53896279,151.840592,7494.5
481,Dalby,AUS,-27.19385822,151.2657434,9818.5
482,Bongaree,AUS,-27.07872313,153.1508996,10327.5
483,Gympie,AUS,-26.18859658,152.6709289,11338
484,Ingham,AUS,-18.64957355,146.1666231,5996.5
485,Birdsville,AUS,-25.89962197,139.3666247,283
486,Bedourie,AUS,-24.34958738,139.4666186,142
487,Boulia,AUS,-22.89959837,139.9000288,402.5
488,Richmond,AUS,-20.71626911,143.1333199,296
489,Burketown,AUS,-17.71609048,139.5666125,186.5
490,Hervey Bay,AUS,-25.28870319,152.8409444,25114
491,Biloela,AUS,-24.39356403,150.4960746,4366.5
492,Yeppoon,AUS,-23.13291746,150.7567305,6450.5
493,Emerald,AUS,-23.51222247,148.1673278,7489
494,Moranbah,AUS,-22.00156533,148.0380334,7357
495,Charters Towers,AUS,-20.08090737,146.2587105,8369.5
496,Ayr,AUS,-19.57024087,147.3994677,7166
497,Atherton,AUS,-17.27027789,145.469353,6132.5
498,Port Douglas,AUS,-16.48458812,145.4587219,2004.5
499,Smithton,AUS,-40.83292234,145.1166613,3351
500,Scottsdale,AUS,-41.14949217,147.5166699,1683.5
501,Bicheno,AUS,-41.87838825,148.2886124,177
502,Oatlands,AUS,-42.29960285,147.3666015,1157
503,Queenstown,AUS,-42.08292356,145.5500199,1658
504,Kingston,AUS,-42.99113686,147.3084139,12652
505,Tennant Creek,AUS,-19.65002928,134.200015,3490.5
506,Yulara,AUS,-25.24054075,130.9888932,930
507,Erldunda,AUS,-25.23330605,133.1999727,10
508,Norseman,AUS,-32.20001259,121.7666137,1004
509,Halls Creek,AUS,-18.26670286,127.7667126,1209
510,Kununurra,AUS,-15.76659707,128.7333203,5229.5
511,Derby,AUS,-17.29999184,123.9666345,3199
512,Onslow,AUS,-21.65759354,115.0962959,573
513,Exmouth,AUS,-21.93109987,114.1233469,1085
514,Carnarvon,AUS,-24.89983803,113.6501066,7392
515,Newman,AUS,-23.36659829,119.7333011,2678
516,Meekatharra,AUS,-26.59999266,118.4832999,654
517,Three Springs,AUS,-29.53330198,115.7499784,190
518,Manjimup,AUS,-34.23332518,116.1500057,4016.5
519,Northam,AUS,-31.65658323,116.6533858,5330
520,Esperance,AUS,-33.857307,121.8888973,7205
521,Leonara,AUS,-28.88150714,121.3280358,227
522,Laverton,AUS,-28.62700071,122.4040425,316
523,Wyndham,AUS,-15.37395953,128.3600614,734.5
524,Albury,AUS,-36.06003538,146.9200138,68534
525,Forster-Tuncurry,AUS,-32.19313963,152.5266483,13275.5
526,Port Macquarie,AUS,-31.44501992,152.9186657,42070
527,Tamworth,AUS,-31.10261188,150.9171342,35080
