id,name,country,lt,ln,pop
137,Ondjiva,AGO,-17.06961831,15.73003699,8748
138,Chitado,AGO,-17.31962889,13.92001827,468.5
139,Chibemba,AGO,-15.74959552,14.0800085,1502
140,Chibia,AGO,-15.1896297,13.69000647,1411
141,Quipungo,AGO,-14.82954832,14.55000565,186
142,Luau,AGO,-10.7095414,22.23000199,9964
143,Cangamba,AGO,-13.69959145,19.86001745,1307
144,Lumbala Nguimbo,AGO,-14.09961871,21.44002437,25
145,Cazombo,AGO,-11.88957273,22.90003861,298
146,Dundo,AGO,-7.380028871,20.82998409,11985
147,Ambriz,AGO,-7.85498696,13.12502803,17000
148,Dondo,AGO,-9.690017071,14.43001298,2353
149,Sumbe,AGO,-11.21002765,13.8499967,29638.5
150,Uige,AGO,-7.620014222,15.04997514,56787.5
151,Kuito,AGO,-12.38003375,16.93998897,113955
152,Lobito,AGO,-12.37000853,13.54123002,170733
153,Xangongo,AGO,-16.74002602,14.96998002,447
154,Luena,AGO,-11.79004393,19.90001501,17276.5
155,Tombua,AGO,-15.80003172,11.85998897,40000
156,Malanje,AGO,-9.540000388,16.34002559,106451
157,Benguela,AGO,-12.57826455,13.40723303,142017
158,Lubango,AGO,-14.91000853,13.49001868,114086.5
159,Namibe,AGO,-15.19004311,12.16002234,128130.5
160,Menongue,AGO,-14.66661253,17.69999426,13030
161,Huambo,AGO,-12.74998533,15.76000932,986000
162,Luanda,AGO,-8.838286114,13.23442704,3562086
163,Artigas Base,ATA,-62.17388669,-58.86386407,34.5
164,Capitan Arturo Prat Station,ATA,-62.49950682,-59.68331852,41
165,Vicecomodoro Marambio Station,ATA,-64.23288939,-56.6500153,102.5
166,Terra Nova Bay,ATA,-74.61919259,164.2190271,60
167,Rothera Station,ATA,-67.5647756,-68.12354055,76
168,Palmer Station,ATA,-64.76241335,-64.0468756,30.5
169,Teniente Rodolfo Marsh Station,ATA,-62.18274357,-58.90765233,115
170,Teniente Jubany Station,ATA,-62.22414386,-58.65047599,40
171,King Sejong Station,ATA,-62.2248534,-58.77159876,53.5
172,Great Wall Station,ATA,-62.21631997,-58.9666956,26
173,Escudero Station,ATA,-62.19496251,-58.95266582,20
174,Elephant Island South Shetland Islands,ATA,-61.99958901,-57.99998458,3
175,Scott Base,ATA,-77.84693819,166.7491023,49.5
176,McMurdo Station,ATA,-77.73228239,166.8694157,600
177,Zhongshan Station,ATA,-69.43406299,76.33929808,42.5
178,Vostok,ATA,-78.46628416,106.8000337,19
179,Peter I Island,ATA,-68.83286701,90.49999508,0.5
180,Mirny Station,ATA,-66.57552952,93.00628846,114.5
181,Mawson Station,ATA,-67.61452032,62.87500073,40
182,Davis Station,ATA,-68.77767439,78.14073509,45
183,Concordia Research Station,ATA,-74.66630939,124.1670357,15
184,Casey Station,ATA,-66.28608614,110.536214,125
185,Amundsen Scott South Pole Station,ATA,-89.98289386,139.2669926,125
186,Wasa Station,ATA,-73.0496122,-13.41671106,5
187,Troll Station,ATA,-72.01629026,2.533323119,25.5
188,Svea Station,ATA,-74.58290363,-11.21669031,5
189,Novolazarevskaya Station,ATA,-71.30123475,-11.8502129,35
190,Neumayer,ATA,-70.89039668,-7.838438004,40
191,Maitri Station,ATA,-70.7821796,11.7304584,33
192,Halley Station,ATA,-76.09226319,-26.4741567,43
193,General Belgrano Station,ATA,-77.86632078,-34.61668319,57
194,Doctor Sobral,ATA,-81.17908472,-40.50153152,20
195,Aboa Station,ATA,-75.04959349,-13.41671106,15
196,San Martn Station,ATA,-68.1163216,-67.0999976,19
197,General Bernado O'Higgins Station,ATA,-63.32841823,-57.88959352,30
198,Esperanza Station,ATA,-63.37532865,-57.02590151,152.5
199,Orcadas Station,ATA,-60.7328963,-44.73330082,29.5
200,Signy Island,ATA,-60.63130815,-45.60070332,4
201,Dumont d'Urville Station,ATA,-66.77505091,139.9636836,75
202,Showa Station,ATA,-69.03039249,39.7460831,50
203,Saint John's,ATG,17.11803652,-61.85003382,29862.5
204,28 de Noviembre,ARG,-51.65003986,-72.30001612,5300
205,Gobernador Gregores,ARG,-48.76659829,-70.25001205,2519
206,Comondante Luis Piedrabuena,ARG,-49.97454865,-68.90347273,410
207,Paso Rio Mayo,ARG,-45.68337563,-70.26657434,1825
208,Alto Rio Sanguer,ARG,-45.03328611,-70.83328394,1548
209,El Maiten,ARG,-42.05000568,-71.16662276,4269
210,Puerto Madryn,ARG,-42.77001341,-65.04001998,61159
211,Trelew,ARG,-43.25003579,-65.3299506,93128.5
212,Las Heras,ARG,-32.82503904,-68.80167668,66663
213,San Martin,ARG,-33.06998533,-68.49001612,99974
214,Uspallata,ARG,-32.59311522,-69.34598454,2390
215,Cutral Co,ARG,-38.94001463,-69.24002202,47597
216,Punta Alta,ARG,-38.87996662,-62.0799681,55969.5
217,San Nicolas,ARG,-33.33002114,-60.24000289,117123.5
218,Campana,ARG,-34.15999632,-58.95997766,77149.5
219,Chacabuco,ARG,-34.65004393,-60.48998763,26645
220,Mercedes,ARG,-34.66001748,-59.44002588,48408.5
221,Lincoln,ARG,-34.88000405,-61.53994938,19924
222,Chivilcoy,ARG,-34.89995115,-60.03998926,43719
223,Veinticinco de Mayo,ARG,-35.42999632,-60.17998071,18749
224,Nueve de Julio,ARG,-35.44596434,-60.88998906,26716
225,Dolores,ARG,-36.33004474,-57.68997766,21586.5
226,Pedro Luro,ARG,-39.48334064,-62.68331629,7100
227,Tres Arroyos,ARG,-38.3699719,-60.26994938,34773.5
228,Coronel Suarez,ARG,-37.46661619,-61.9166189,20713
229,Balcarce,ARG,-37.83331216,-58.24999516,18967
230,25 de Mayo,ARG,-37.80003253,-67.68329533,17430
231,General Roca,ARG,-39.01995807,-67.60996647,38578
232,Comallo,ARG,-41.03332355,-70.26657434,741
233,Ingeniero Jacobacci,ARG,-41.30002562,-69.58330855,5719
234,General Conesa,ARG,-40.10004718,-64.43328699,2958
235,Choele Choel,ARG,-39.26660968,-65.68331405,9895.5
236,San Francisco,ARG,-31.43003375,-62.08996749,43231
237,Alta Gracia,ARG,-31.65999388,-64.4299797,30593
238,Villa Maria,ARG,-32.41002562,-63.26002527,76701
239,Bell Ville,ARG,-32.60003986,-62.67995732,29605
240,Villa Rumipal,ARG,-32.18332111,-64.48328394,1269
