report_number,outbreak_reference,start_date,end_date,state,county,latitude,longitude
144115,ca 404 - central valley california,2024/11/12,,california,sacramento,38.59,-121.318
144113,ca 373 - central valley california,2024/11/04,,california,sacramento,38.591,-121.321
144111,ca 363 - central valley california,2024/11/04,,california,sacramento,38.591,-121.322
144109,ca 358 - central valley california,2024/11/04,,california,sacramento,38.586,-121.323
144106,ca 028 - central valley california,2024/11/05,,california,sacramento,38.456,-121.41
143864,ca 434 - central valley california,2024/11/13,,california,sacramento,38.589,-121.315
143861,ca 418 - central valley california,2024/11/07,,california,sacramento,38.586,-121.317
143858,ca 416 - central valley california,2024/11/13,,california,sacramento,38.588,-121.317
143855,ca 414 - central valley california,2024/11/12,,california,sacramento,38.59,-121.317
143852,ca 412 - central valley california,2024/11/13,,california,sacramento,38.592,-121.317
143849,ca 409 - central valley california,2024/11/12,,california,sacramento,38.585,-121.318
143847,ca 407 - central valley california,2024/11/12,,california,sacramento,38.587,-121.318
143844,ca 405 - central valley california,2024/11/10,,california,sacramento,38.589,-121.318
143841,ca 401 - central valley california,2024/11/11,,california,sacramento,38.593,-121.318
143839,ca 399 - central valley california,2024/11/11,,california,sacramento,38.585,-121.319
143837,ca 397 - central valley california,2024/11/10,,california,sacramento,38.587,-121.319
143834,ca 395 - central valley california,2024/11/11,,california,sacramento,38.589,-121.319
143832,ca 393 - central valley california,2024/11/11,,california,sacramento,38.591,-121.319
143829,ca 391 - central valley california,2024/11/11,,california,sacramento,38.593,-121.319
143827,ca 389 - central valley california,2024/11/15,,california,sacramento,38.585,-121.32
143825,ca 387 - central valley california,2024/11/11,,california,sacramento,38.587,-121.32
143823,ca 385 - central valley california,2024/11/11,,california,sacramento,38.589,-121.32
143820,ca 383 - central valley california,2024/11/10,,california,sacramento,38.591,-121.32
143818,ca 381 - central valley california,2024/11/10,,california,sacramento,38.593,-121.32
143816,ca 379 - central valley california,2024/11/11,,california,sacramento,38.585,-121.321
143813,ca 377 - central valley california,2024/11/10,,california,sacramento,38.587,-121.321
143811,ca 375 - central valley california,2024/11/10,,california,sacramento,38.589,-121.321
143808,ca 372 - central valley california,2024/11/12,,california,sacramento,38.592,-121.321
143806,ca 368 - central valley california,2024/11/03,,california,sacramento,38.586,-121.322
143802,ca 366 - central valley california,2024/11/04,,california,sacramento,38.588,-121.322
143800,ca 362 - central valley california,2024/11/03,,california,sacramento,38.592,-121.322
143797,ca 360 - central valley california,2024/11/03,,california,sacramento,38.584,-121.323
143794,ca 357 - central valley california,2024/11/06,,california,sacramento,38.587,-121.323
143792,ca 355 - central valley california,2024/11/05,,california,sacramento,38.5891,-121.323
143790,ca 353 - central valley california,2024/11/06,,california,sacramento,38.591,-121.323
143788,ca 351 - central valley california,2024/11/04,,california,sacramento,38.593,-121.323
143786,ca 349 - central valley california,2024/11/04,,california,sacramento,38.585,-121.324
143783,ca 345 - central valley california,2024/11/03,,california,sacramento,38.589,-121.324
143779,ca 343 - central valley california,2024/11/03,,california,sacramento,38.591,-121.324
143777,ca 341 - central valley california,2024/10/29,,california,sacramento,38.593,-121.324
143775,ca 339 - central valley california,2024/10/28,,california,sacramento,38.585,-121.325
143773,ca 333 - central valley california,2024/10/28,,california,sacramento,38.591,-121.325
143771,ca 331 - central valley california,2024/10/28,,california,sacramento,38.593,-121.325
143769,ca 329 - central valley california,2024/10/28,,california,sacramento,38.585,-121.326
143767,ca 327 - central valley california,2024/10/24,,california,sacramento,38.587,-121.326
143765,ca 325 - central valley california,2024/10/21,,california,sacramento,38.589,-121.326
143762,ca 323 - central valley california,2024/10/28,,california,sacramento,38.591,-121.326
143760,ca 321 - central valley california,2024/10/26,,california,sacramento,38.593,-121.326
143758,ca 319 - central valley california,2024/10/28,,california,sacramento,38.585,-121.327
143756,ca 317 - central valley california,2024/10/28,,california,sacramento,38.587,-121.327
143754,ca 315 - central valley california,2024/10/28,,california,sacramento,38.589,-121.327
143752,ca 313 - central valley california,2024/10/21,,california,sacramento,38.591,-121.327
143750,ca 311 - central valley  california,2024/10/27,,california,sacramento,38.593,-121.327
143748,ca 309 - central valley california,2024/10/27,,california,sacramento,38.585,-121.328
143746,ca 307 - central valley california,2024/10/26,,california,sacramento,38.588,-121.328
143744,ca 305 - central valley california,2024/10/27,,california,sacramento,38.589,-121.328
143741,ca 303 - central valley california,2024/10/27,,california,sacramento,38.591,-121.328
143738,ca 301 - central valley  california,2024/10/28,,california,sacramento,38.593,-121.328
143686,ca 226 - central valley california,2024/10/01,,california,sacramento,38.598,-121.453
143193,ca 298 - central valley california,2024/10/28,,california,sacramento,38.601,-121.322
143191,ca 296 - central valley california,2024/10/28,,california,sacramento,38.601,-121.324
143189,ca 294 - central valley california,2024/10/28,2024/10/28,california,sacramento,38.601,-121.326
143187,ca 292 - central valley california,2024/10/28,,california,sacramento,38.602,-121.317
143185,ca 290 - central valley california,2024/10/28,,california,sacramento,38.602,-121.319
143183,ca 288 - central valley california,2024/10/28,,california,sacramento,38.602,-121.321
143181,ca 286 - central valley california,2024/10/28,,california,sacramento,38.602,-121.323
143179,ca 284 - central valley california,2024/10/28,,california,sacramento,38.602,-121.325
143177,ca 280 - central valley california,2024/10/28,,california,sacramento,38.602,-121.463
143175,ca 278 - central valley california,2024/10/28,,california,sacramento,38.602,-121.461
143173,ca 276 - central valley california,2024/10/28,,california,sacramento,38.602,-121.459
143171,ca 274 - central valley california,2024/10/28,,california,sacramento,38.602,-121.457
143169,ca 272 - central valley california,2024/10/28,,california,sacramento,38.602,-121.455
143167,ca 270 - central valley california,2024/10/28,,california,sacramento,38.602,-121.453
143165,ca 268 - central valley california,2024/10/28,,california,sacramento,38.601,-121.462
143163,ca 266 - central valley california,2024/10/28,,california,sacramento,38.601,-121.46
143151,ca 263 - central valley california,2024/10/28,,california,sacramento,38.601,-121.457
143149,ca 261 - central valley california,2024/10/28,,california,sacramento,38.601,-121.455
143147,ca 259 - central valley california,2024/10/28,,california,sacramento,38.601,-121.453
143145,ca 257 - central valley california,2024/10/28,,california,sacramento,38.6,-121.462
143143,ca 255 - central valley california,2024/10/28,,california,sacramento,38.6,-121.46
143141,ca 252 - central valley california,2024/10/18,,california,sacramento,38.6,-121.457
143139,ca 250 - central valley california,2024/10/28,,california,sacramento,38.6,-121.455
143137,ca 248 - central valley california,2024/10/25,,california,sacramento,38.6,-121.453
143135,ca 246 - central valley california,2024/10/21,,california,sacramento,38.599,-121.462
143133,ca 236 - central valley california,2024/10/18,,california,sacramento,38.598,-121.463
143131,ca 210 - central valley california,2024/10/21,,california,sacramento,38.596,-121.459
143129,ca 182 - central valley california,2024/10/15,,california,sacramento,38.594,-121.453
142976,ut 014 - cache county,2024/11/04,,utah,cache,41.727,-111.855
142974,ut 012 - cache county,2024/11/04,,utah,cache,41.729,-111.835
142570,ca 300 - central valley  california,2024/10/30,,california,sacramento,38.588,-121.453
142568,ca 244 - central valley california,2024/10/28,,california,sacramento,38.599,-121.46
142566,ca 242 - central valley california,2024/10/23,,california,sacramento,38.599,-121.458
142564,ca 239 - central valley california,2024/10/24,,california,sacramento,38.599,-121.455
142562,ca 237 - central valley california,2024/10/24,,california,sacramento,38.599,-121.453
142560,ca 234 - central valley california,2024/10/28,,california,sacramento,38.598,-121.461
142558,ca 232 - central valley california,2024/10/21,,california,sacramento,38.598,-121.459
142556,ca 230 - central valley caliornia,2024/10/21,,california,sacramento,38.598,-121.457
142554,ca 228 - central valley california,2024/10/21,,california,sacramento,38.5981,-121.455
142552,ca 224 - central valley california,2024/10/28,,california,sacramento,38.597,-121.462
142550,ca 222 - central valley california,2024/10/21,,california,sacramento,38.597,-121.46
142548,ca 220 - central valley california,2024/10/21,,california,sacramento,38.597,-121.458
142546,ca 218 - central valley california,2024/10/21,,california,sacramento,38.597,-121.456
142544,ca 216 - central valley california,2024/10/15,,california,sacramento,38.597,-121.453
142542,ca 214 - central valley california,2024/10/25,,california,sacramento,38.596,-121.463
142540,ca 212 - central valley california,2024/10/21,,california,sacramento,38.596,-121.461
142538,ca 180 - central valley california,2024/10/18,,california,sacramento,38.593,-121.462
137954,tx 024 - erath county,2024/07/15,,texas,erath,32.219,-98.203
139947,tx 026 - erath county,2024/05/21,,texas,erath,32.22,-98.201
142387,ut 008 - cache county,2024/10/24,,utah,cache,41.733,-111.835
142385,ut 006 - cache county,2024/10/24,,utah,cache,41.735,-111.835
142383,ut 004 - cache county,2024/10/24,,utah,cache,41.733,-111.836
142124,ca 209 - central valley california,2024/10/24,,california,sacramento,38.596,-121.458
142123,ca 208 - central valley  california,2024/10/24,,california,sacramento,38.596,-121.457
142120,ca 206 - central valley  california,2024/10/21,,california,sacramento,38.596,-121.455
142118,ca 203 - central valley  california,2024/10/21,,california,sacramento,38.595,-121.463
142115,ca 201 - central valley  california,2024/10/21,,california,sacramento,38.595,-121.461
142113,ca 199 - central valley  california,2024/10/21,,california,sacramento,38.595,-121.459
142111,ca 197 - central valley  california,2024/10/22,,california,sacramento,38.595,-121.458
142109,ca 195 - central valley  california,2024/10/21,,california,sacramento,38.595,-121.455
142107,ca 193 - central valley  california,2024/10/22,,california,sacramento,38.595,-121.455
142105,ca 191 - central valley  california,2024/10/21,,california,sacramento,38.594,-121.462
142103,ca 189 - central valley  california,2024/10/18,,california,sacramento,38.594,-121.46
142101,ca 187 - central valley  california,2024/10/17,,california,sacramento,38.594,-121.458
142099,ca 185 - central valley  california,2024/10/18,,california,sacramento,38.594,-121.456
142097,ca 183 - central valley  california,2024/10/18,,california,sacramento,38.594,-121.454
142095,ca 179 - central valley  california,2024/10/17,,california,sacramento,38.593,-121.461
142093,ca 176 - central valley  california,2024/10/16,,california,sacramento,38.593,-121.458
142091,ca 174 - central valley  california,2024/10/14,,california,sacramento,38.593,-121.455
142089,ca 172 - central valley  california,2024/10/15,,california,sacramento,38.593,-121.454
142087,ca 170 - central valley  california,2024/10/16,,california,sacramento,38.592,-121.463
142085,ca 168 - central valley  california,2024/10/17,,california,sacramento,38.592,-121.461
142083,ca 166 - central valley  california,2024/10/16,,california,sacramento,38.592,-121.459
142081,ca 164 - central valley  california,2024/10/16,,california,sacramento,38.592,-121.457
142079,ca 162 - central valley  california,2024/10/12,,california,sacramento,38.592,-121.455
142077,ca 158 - central valley  california,2024/10/14,,california,sacramento,38.591,-121.462
142075,ca 156 - central valley  california,2024/10/14,,california,sacramento,38.591,-121.46
142073,ca 154 - central valley  california,2024/10/14,,california,sacramento,38.591,-121.458
142072,ca 153 - central valley california,2024/10/14,,california,sacramento,38.591,-121.457
142070,ca 150 - central valley california,2024/10/12,,california,sacramento,38.591,-121.455
142068,ca 148 - central valley california,2024/10/14,,california,sacramento,38.59,-121.464
142066,ca 145 - central valley california,2024/10/14,,california,sacramento,38.59,-121.461
142064,ca 143 - central valley california,2024/10/14,,california,sacramento,38.59,-121.459
142062,ca 141 - central valley california,2024/10/14,,california,sacramento,38.59,-121.457
142060,ca 139 - central valley california,2024/10/14,,california,sacramento,38.59,-121.455
142058,ca 096 - central valley california,2024/09/28,2024/10/01,california,sacramento,38.547,-121.4
141620,id 038 - twin falls county,2024/10/21,,idaho,twin falls,42.565,-114.495
141327,ca 112 - central valley  california,2024/10/08,,california,sacramento,38.588,-121.459
141589,ca 160 - central valley california,2024/10/16,,california,sacramento,38.592,-121.453
141587,ca 147 - central valley california,2024/10/14,,california,sacramento,38.59,-121.463
141585,ca 137 - central valley california,2024/10/10,,california,sacramento,38.59,-121.453
141583,ca 135 - central valley california,2024/10/09,,california,sacramento,38.589,-121.462
141581,ca 133 - central valley california,2024/10/09,,california,sacramento,38.589,-121.46
141579,ca 131 - central valley california,2024/10/07,,california,sacramento,38.589,-121.458
141578,ca 130 - central valley califoria,2024/10/10,,california,sacramento,38.589,-121.457
141575,ca 126 - central valley california,2024/10/09,,california,sacramento,38.589,-121.453
141509,north slope borough,2024/09/23,,alaska,north slope,71.283,-156.768
141339,ca 125 - central valley california,2024/10/06,,california,sacramento,38.588,-121.472
141337,ca 123 - central valley california,2024/10/08,,california,sacramento,38.588,-121.47
141335,ca 121 - central valley california,2024/10/07,,california,sacramento,38.588,-121.468
141332,ca 119 - central valley california,2024/10/08,,california,sacramento,38.588,-121.464
141330,ca 115 - central valley california,2024/10/08,,california,sacramento,38.588,-121.462
141328,ca 113 - central valley california,2024/10/08,,california,sacramento,38.588,-121.46
141325,ca 110 - central valley california,2024/10/07,,california,sacramento,38.588,-121.457
141323,ca 108 - central valley california,2024/10/03,2024/10/03,california,sacramento,38.588,-121.455
141321,ca 105 - central valley california,2024/10/07,2024/10/07,california,sacramento,38.588,-121.452
141319,ca 054 - central valley california,2024/09/21,,california,sacramento,38.588,-121.45
141016,ca 062 - central valley california,2024/09/30,,california,sacramento,38.576,-121.49
141055,ca 103 - central valley  california,2024/10/02,,california,sacramento,38.578,-121.489
141054,ca 102 - central valley  california,2024/10/02,,california,sacramento,38.578,-121.488
141053,ca 101 - central valley california,2024/10/01,,california,sacramento,38.578,-121.487
141052,ca 100 - central valley  california,2024/10/01,,california,sacramento,38.577,-121.507
141051,ca 099 - central valley california,2024/10/01,,california,sacramento,38.577,-121.506
141050,ca 098 - central valley  california,2024/10/02,,california,sacramento,38.577,-121.505
141049,ca 097 - central valley california,2024/10/02,,california,sacramento,38.577,-121.504
141048,ca 095 - central valley  california,2024/10/02,,california,sacramento,38.577,-121.502
141047,ca 094 - central valley  california,2024/10/02,,california,sacramento,38.577,-121.501
141045,ca 091 - central valley california,2024/10/02,,california,sacramento,38.577,-121.498
141043,ca 089 - central valley california,2024/10/02,,california,sacramento,38.577,-121.496
141041,ca 087 - central valley california,2024/10/01,,california,sacramento,38.577,-121.494
141038,ca 084 - central valley  california,2024/10/01,,california,sacramento,38.577,-121.491
141037,ca 083 - central valley  california,2024/10/01,,california,sacramento,38.577,-121.49
141035,ca 081 - central valley  california,2024/10/01,,california,sacramento,38.577,-121.488
141034,ca 080 - central valley california,2024/10/01,,california,sacramento,38.577,-121.487
141032,ca 078 - central valley california,2024/10/01,,california,sacramento,38.576,-121.506
141029,ca 075 - central valley california,2024/09/30,,california,sacramento,38.576,-121.503
141027,ca 073 - central valley california,2024/09/30,,california,sacramento,38.576,-121.501
141025,ca 071 - central valley california,2024/09/30,,california,sacramento,38.576,-121.499
141023,ca 069 - central valley california,2024/09/30,,california,sacramento,38.576,-121.497
141021,ca 067 - central valley california,2024/09/30,,california,sacramento,38.576,-121.495
141019,ca 065 - central valley california,2024/09/30,,california,sacramento,38.576,-121.493
141017,ca 063 - central valley california,2024/09/30,,california,sacramento,38.576,-121.491
141014,ca 060 - central valley california,2024/09/23,,california,sacramento,38.576,-121.488
140624,ca 043 - central valley california,2024/09/18,,california,sacramento,38.581,-121.493
140627,ca 045 - central valley california,2024/09/23,,california,sacramento,38.581,-121.495
140629,ca 047 - central valley california,2024/09/23,,california,sacramento,38.581,-121.497
140631,ca 049 - central valley california,2024/09/23,,california,sacramento,38.581,-121.499
140633,ca 051 - central valley california,2024/09/23,,california,sacramento,38.581,-121.501
140639,ca 058 - central valley california,2024/09/27,,california,sacramento,38.581,-121.507
140637,ca 056 - central valley california,2024/09/25,,california,sacramento,38.581,-121.505
140635,ca 053 - central valley california,2024/09/23,,california,sacramento,38.581,-121.503
140564,id 035 - payette county,2024/09/08,,idaho,payette,44.078,-116.93
140268,ca 041 - central valley california,2024/09/18,,california,sacramento,38.577,-121.503
140266,ca 039 - central valley california,2024/09/18,,california,sacramento,38.575,-121.501
140264,ca 037 - central valley california,2024/09/18,,california,sacramento,38.575,-121.499
140262,ca 035 - central valley california,2024/09/17,,california,sacramento,38.575,-121.497
140260,ca 033 - central valley california,2024/09/17,,california,sacramento,38.575,-121.495
