outbreak_reference,start_date,end_date,state,county,county_code
143187,2024-10-28,,california,sacramento,6067
143186,2024-10-28,,california,sacramento,6067
143185,2024-10-28,,california,sacramento,6067
143184,2024-10-28,,california,sacramento,6067
143183,2024-10-28,,california,sacramento,6067
143182,2024-10-28,,california,sacramento,6067
143181,2024-10-28,,california,sacramento,6067
143180,2024-10-28,,california,sacramento,6067
143179,2024-10-28,,california,sacramento,6067
143178,2024-10-28,,california,sacramento,6067
143177,2024-10-28,,california,sacramento,6067
143176,2024-10-28,,california,sacramento,6067
143175,2024-10-28,,california,sacramento,6067
143174,2024-10-28,,california,sacramento,6067
143173,2024-10-28,,california,sacramento,6067
143172,2024-10-28,,california,sacramento,6067
143171,2024-10-28,,california,sacramento,6067
143170,2024-10-28,,california,sacramento,6067
143169,2024-10-28,,california,sacramento,6067
143168,2024-10-28,,california,sacramento,6067
143166,2024-10-14,,california,sacramento,6067
143165,2024-10-28,,california,sacramento,6067
143164,2024-10-27,,california,sacramento,6067
143163,2024-10-28,,california,sacramento,6067
143152,2024-10-28,,california,sacramento,6067
143151,2024-10-28,,california,sacramento,6067
143150,2024-10-28,,california,sacramento,6067
143149,2024-10-28,,california,sacramento,6067
143148,2024-10-26,,california,sacramento,6067
143147,2024-10-28,,california,sacramento,6067
143146,2024-10-28,,california,sacramento,6067
143145,2024-10-28,,california,sacramento,6067
143144,2024-10-27,,california,sacramento,6067
143143,2024-10-28,,california,sacramento,6067
143142,2024-10-28,,california,sacramento,6067
143141,2024-10-18,,california,sacramento,6067
143140,2024-10-28,,california,sacramento,6067
143139,2024-10-28,,california,sacramento,6067
143138,2024-10-28,,california,sacramento,6067
143137,2024-10-25,,california,sacramento,6067
143136,2024-10-23,,california,sacramento,6067
143135,2024-10-21,,california,sacramento,6067
143134,2024-10-22,,california,sacramento,6067
143133,2024-10-18,,california,sacramento,6067
143132,2024-10-15,,california,sacramento,6067
143131,2024-10-21,,california,sacramento,6067
143130,2024-10-21,,california,sacramento,6067
143129,2024-10-15,,california,sacramento,6067
143128,2024-10-14,,california,sacramento,6067
142976,2024-11-04,,utah,cache,49005
142975,2024-11-04,,utah,cache,49005
142974,2024-11-04,,utah,cache,49005
142973,2024-11-01,,utah,cache,49005
142570,2024-10-30,,california,sacramento,6067
142569,2024-10-30,,california,sacramento,6067
142568,2024-10-28,,california,sacramento,6067
142567,2024-10-28,,california,sacramento,6067
142566,2024-10-23,,california,sacramento,6067
142565,2024-10-24,,california,sacramento,6067
142564,2024-10-24,,california,sacramento,6067
142563,2024-10-24,,california,sacramento,6067
142562,2024-10-24,,california,sacramento,6067
142561,2024-10-28,,california,sacramento,6067
142560,2024-10-28,,california,sacramento,6067
142559,2024-10-28,,california,sacramento,6067
142558,2024-10-21,,california,sacramento,6067
142557,2024-10-28,,california,sacramento,6067
142556,2024-10-21,,california,sacramento,6067
142555,2024-10-21,,california,sacramento,6067
142554,2024-10-21,,california,sacramento,6067
142553,2024-10-21,,california,sacramento,6067
142552,2024-10-28,,california,sacramento,6067
142551,2024-10-21,,california,sacramento,6067
142550,2024-10-21,,california,sacramento,6067
142549,2024-10-21,,california,sacramento,6067
142548,2024-10-21,,california,sacramento,6067
142547,2024-10-21,,california,sacramento,6067
142546,2024-10-21,,california,sacramento,6067
142545,2024-10-21,,california,sacramento,6067
142544,2024-10-15,,california,sacramento,6067
142543,2024-10-17,,california,sacramento,6067
142542,2024-10-25,,california,sacramento,6067
142541,2024-10-24,,california,sacramento,6067
142540,2024-10-21,,california,sacramento,6067
142539,2024-10-22,,california,sacramento,6067
142538,2024-10-18,,california,sacramento,6067
142537,2024-10-31,,utah,cache,49005
137954,2024-07-15,,texas,erath,48143
139945,2024-05-22,,texas,erath,48143
139947,2024-05-21,,texas,erath,48143
142388,2024-10-24,,utah,cache,49005
142387,2024-10-24,,utah,cache,49005
142386,2024-10-24,,utah,cache,49005
142385,2024-10-24,,utah,cache,49005
142384,2024-10-24,,utah,cache,49005
142383,2024-10-24,,utah,cache,49005
142382,2024-10-24,,utah,cache,49005
142381,2024-10-24,,utah,cache,49005
142124,2024-10-24,,california,sacramento,6067
142123,2024-10-24,,california,sacramento,6067
142121,2024-10-21,,california,sacramento,6067
142120,2024-10-21,,california,sacramento,6067
142119,2024-10-21,,california,sacramento,6067
142118,2024-10-21,,california,sacramento,6067
142116,2024-10-21,,california,sacramento,6067
142115,2024-10-21,,california,sacramento,6067
142114,2024-10-21,,california,sacramento,6067
142113,2024-10-21,,california,sacramento,6067
142112,2024-10-21,,california,sacramento,6067
142111,2024-10-22,,california,sacramento,6067
142110,2024-10-21,,california,sacramento,6067
142109,2024-10-21,,california,sacramento,6067
142108,2024-10-18,,california,sacramento,6067
142107,2024-10-22,,california,sacramento,6067
142106,2024-10-21,,california,sacramento,6067
142105,2024-10-21,,california,sacramento,6067
142104,2024-10-21,,california,sacramento,6067
142103,2024-10-18,,california,sacramento,6067
142102,2024-10-18,,california,sacramento,6067
142101,2024-10-17,,california,sacramento,6067
142100,2024-10-18,,california,sacramento,6067
142099,2024-10-18,,california,sacramento,6067
142098,2024-10-17,,california,sacramento,6067
142097,2024-10-18,,california,sacramento,6067
142096,2024-10-17,,california,sacramento,6067
142095,2024-10-17,,california,sacramento,6067
142094,2024-10-17,,california,sacramento,6067
142093,2024-10-16,,california,sacramento,6067
142092,2024-10-16,,california,sacramento,6067
142091,2024-10-14,,california,sacramento,6067
142090,2024-10-06,,california,sacramento,6067
142089,2024-10-15,,california,sacramento,6067
142088,2024-10-15,,california,sacramento,6067
142087,2024-10-16,,california,sacramento,6067
142086,2024-10-16,,california,sacramento,6067
142085,2024-10-17,,california,sacramento,6067
142084,2024-10-16,,california,sacramento,6067
142083,2024-10-16,,california,sacramento,6067
142082,2024-10-16,,california,sacramento,6067
142081,2024-10-16,,california,sacramento,6067
142080,2024-10-15,,california,sacramento,6067
142079,2024-10-12,,california,sacramento,6067
142078,2024-10-14,,california,sacramento,6067
142077,2024-10-14,,california,sacramento,6067
142076,2024-01-14,,california,sacramento,6067
142075,2024-10-14,,california,sacramento,6067
142074,2024-10-14,,california,sacramento,6067
142073,2024-10-14,,california,sacramento,6067
