badge;reportId;reportNumber;reportReference;reportTypeNumber;reportType;oieReference;newOutbreaks;totalOutbreaks;openOutbreaks;reportingDate
"";173356;96;"";"FUR_96";"FUR";"FUR_173356";6;1253;1051;"3/28/2025"
"";173173;95;"";"FUR_95";"FUR";"FUR_173173";8;1247;1045;"3/21/2025"
"";172997;94;"";"FUR_94";"FUR";"FUR_172997";10;1240;1038;"3/14/2025"
"";172784;93;"";"FUR_93";"FUR";"FUR_172784";6;1230;1028;"3/7/2025"
"";172588;92;"";"FUR_92";"FUR";"FUR_172588";5;1225;1023;"2/28/2025"
"";172404;91;"";"FUR_91";"FUR";"FUR_172404";4;1220;1018;"2/21/2025"
"";172209;90;"";"FUR_90";"FUR";"FUR_172209";9;1216;1014;"2/14/2025"
"";172054;89;"";"FUR_89";"FUR";"FUR_172054";18;1207;1005;"2/7/2025"
"";171865;88;"";"FUR_88";"FUR";"FUR_171865";15;1189;987;"1/31/2025"
"";171725;87;"";"FUR_87";"FUR";"FUR_171725";12;1174;973;"1/24/2025"
"";171565;86;"";"FUR_86";"FUR";"FUR_171565";17;1163;962;"1/17/2025"
"";171398;85;"";"FUR_85";"FUR";"FUR_171398";8;1148;949;"1/10/2025"
"";171234;84;"";"FUR_84";"FUR";"FUR_171234";29;1141;942;"1/3/2025"
"";171156;83;"";"FUR_83";"FUR";"FUR_171156";31;1113;914;"12/27/2024"
"";171056;82;"";"FUR_82";"FUR";"FUR_171056";35;1084;885;"12/20/2024"
"";170904;81;"";"FUR_81";"FUR";"FUR_170904";122;1049;850;"12/13/2024"
"";170735;80;"";"FUR_80";"FUR";"FUR_170735";42;927;728;"12/6/2024"
"";170640;79;"";"FUR_79";"FUR";"FUR_170640";61;885;686;"11/29/2024"
"";170492;78;"";"FUR_78";"FUR";"FUR_170492";107;824;625;"11/22/2024"
"";170314;77;"";"FUR_77";"FUR";"FUR_170314";61;717;518;"11/15/2024"
"";170141;76;"";"FUR_76";"FUR";"FUR_170141";45;656;457;"11/8/2024"
"";170053;75;"";"FUR_75";"FUR";"FUR_170053";67;614;415;"11/1/2024"
"";169885;74;"";"FUR_74";"FUR";"FUR_169885";21;547;348;"10/25/2024"
"";169814;73;"";"FUR_73";"FUR";"FUR_169814";21;527;328;"10/18/2024"
"";169631;72;"";"FUR_72";"FUR";"FUR_169631";43;506;307;"10/11/2024"
"";169528;71;"";"FUR_71";"FUR";"FUR_169528";17;463;264;"10/4/2024"
"";169394;70;"";"FUR_70";"FUR";"FUR_169394";25;446;247;"9/27/2024"
